Sites	OMB
F1	0.00015636
F2	0.00426527
F4 	0.000793005
F5 	0.00013903
F6	0.00367395
F8	0.002155129
F9	0.001170707
F11 	0.001053162
V12	0.000276008
V13	0.003371018
V14	0.003154974
V15	0.000531149
V18	0.003073973
V19	0.001693627
V41	0
A22	0.000434423
A23	0.001024309
A24	0.001730785
A25	0.001874914
A26	0.005749706
A27	0.001182489
A29	0.002935642
A30	0.000137737
U31	0.001138346
U33 	0
U35	0.003171287
U37 	0
U39	0.003261443
U40 	0.002613058
